@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,634,0,3543,0,1,1,0.151784,1,0.848216,0.263563,1,1,0
1,633,1,3543,0,1,0.998423,0.15158,0.998423,0.84842,0.263202,0.999761,0.998662,0
2,633,1,3542,1,0.999718,0.998423,0.151617,0.998423,0.848383,0.263256,0.999521,0.998901,0
3,633,1,3541,2,0.999436,0.998423,0.151653,0.998423,0.848347,0.263311,0.999282,0.99914,0
4,633,1,3540,3,0.999153,0.998423,0.151689,0.998423,0.848311,0.263366,0.999042,0.99938,0
5,633,1,3539,4,0.998871,0.998423,0.151726,0.998423,0.848274,0.263421,0.998803,0.999619,0
6,633,1,3538,5,0.998589,0.998423,0.151762,0.998423,0.848238,0.263476,0.998564,0.999859,0
7,633,1,3537,6,0.998307,0.998423,0.151799,0.998423,0.848201,0.26353,0.998324,1.000099,0
8,633,1,3536,7,0.998024,0.998423,0.151835,0.998423,0.848165,0.263585,0.998085,1.000339,0
9,633,1,3535,8,0.997742,0.998423,0.151871,0.998423,0.848129,0.26364,0.997845,1.000579,0
10,633,1,3534,9,0.99746,0.998423,0.151908,0.998423,0.848092,0.263695,0.997606,1.000819,0
11,633,1,3533,10,0.997178,0.998423,0.151944,0.998423,0.848056,0.26375,0.997367,1.001059,0
12,633,1,3532,11,0.996895,0.998423,0.151981,0.998423,0.848019,0.263805,0.997127,1.001299,0
13,633,1,3531,12,0.996613,0.998423,0.152017,0.998423,0.847983,0.26386,0.996888,1.00154,0
14,633,1,3530,13,0.996331,0.998423,0.152054,0.998423,0.847946,0.263915,0.996648,1.00178,0
15,633,1,3529,14,0.996049,0.998423,0.15209,0.998423,0.84791,0.26397,0.996409,1.002021,0
16,633,1,3528,15,0.995766,0.998423,0.152127,0.998423,0.847873,0.264025,0.996169,1.002262,0
17,633,1,3527,16,0.995484,0.998423,0.152163,0.998423,0.847837,0.26408,0.99593,1.002503,0
18,633,1,3526,17,0.995202,0.998423,0.1522,0.998423,0.8478,0.264135,0.995691,1.002744,0
19,633,1,3525,18,0.99492,0.998423,0.152237,0.998423,0.847763,0.26419,0.995451,1.002985,0
20,633,1,3524,19,0.994637,0.998423,0.152273,0.998423,0.847727,0.264245,0.995212,1.003226,0
21,633,1,3523,20,0.994355,0.998423,0.15231,0.998423,0.84769,0.264301,0.994972,1.003468,0
22,633,1,3522,21,0.994073,0.998423,0.152347,0.998423,0.847653,0.264356,0.994733,1.003709,0
23,633,1,3521,22,0.993791,0.998423,0.152383,0.998423,0.847617,0.264411,0.994494,1.003951,0
24,633,1,3520,23,0.993508,0.998423,0.15242,0.998423,0.84758,0.264466,0.994254,1.004193,0
25,633,1,3519,24,0.993226,0.998423,0.152457,0.998423,0.847543,0.264522,0.994015,1.004434,0
26,633,1,3518,25,0.992944,0.998423,0.152493,0.998423,0.847507,0.264577,0.993775,1.004676,0
27,633,1,3517,26,0.992662,0.998423,0.15253,0.998423,0.84747,0.264632,0.993536,1.004918,0
28,633,1,3516,27,0.992379,0.998423,0.152567,0.998423,0.847433,0.264687,0.993297,1.005161,0
