@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,634,0,3543,0,1,1,0.151784,1,0.848216,0.263563,1,1,0
1,232,402,990,2553,0.279424,0.365931,0.189853,0.365931,0.810147,0.25,0.292554,1.250812,0.042553
2,231,403,982,2561,0.277166,0.364353,0.190437,0.364353,0.809563,0.250135,0.2904,1.254661,0.045455
3,231,403,981,2562,0.276884,0.364353,0.190594,0.364353,0.809406,0.250271,0.29016,1.255696,0.052632
4,230,404,980,2563,0.276602,0.362776,0.190083,0.362776,0.809917,0.249458,0.289682,1.252327,0.055556
5,229,405,977,2566,0.275755,0.361199,0.189884,0.361199,0.810116,0.248913,0.288724,1.251018,0.058824
6,229,405,975,2568,0.275191,0.361199,0.190199,0.361199,0.809801,0.249184,0.288245,1.253096,0.0625
7,228,406,971,2572,0.274062,0.359621,0.190158,0.359621,0.809842,0.248773,0.287048,1.252826,0.066667
8,228,406,966,2577,0.27265,0.359621,0.190955,0.359621,0.809045,0.249453,0.285851,1.258073,0.071429
9,228,406,965,2578,0.272368,0.359621,0.191115,0.359621,0.808885,0.249589,0.285612,1.259127,0.074074
10,227,407,965,2578,0.272368,0.358044,0.190436,0.358044,0.809564,0.248631,0.285372,1.254656,0.076923
11,227,407,959,2584,0.270675,0.358044,0.1914,0.358044,0.8086,0.249451,0.283936,1.261004,0.083333
12,227,407,946,2597,0.267005,0.358044,0.193521,0.358044,0.806479,0.251245,0.280824,1.274979,0.086957
13,227,407,942,2601,0.265876,0.358044,0.194183,0.358044,0.805817,0.251803,0.279866,1.279342,0.090909
14,224,410,931,2612,0.262772,0.353312,0.193939,0.353312,0.806061,0.250419,0.276514,1.277736,0.1
15,222,412,910,2633,0.256844,0.350158,0.196113,0.350158,0.803887,0.251416,0.271008,1.292057,0.105263
16,222,412,909,2634,0.256562,0.350158,0.196286,0.350158,0.803714,0.251558,0.270768,1.2932,0.111111
17,215,419,886,2657,0.250071,0.339117,0.195277,0.339117,0.804723,0.247839,0.263586,1.286549,0.115385
18,215,419,883,2660,0.249224,0.339117,0.195811,0.339117,0.804189,0.248268,0.262868,1.290064,0.12
19,215,419,881,2662,0.248659,0.339117,0.196168,0.339117,0.803832,0.248555,0.262389,1.292418,0.125
20,213,421,850,2693,0.23991,0.335962,0.200376,0.335962,0.799624,0.251031,0.254489,1.320145,0.133333
21,212,422,849,2694,0.239627,0.334385,0.199811,0.334385,0.800189,0.250147,0.25401,1.316424,0.142857
22,206,428,826,2717,0.233136,0.324921,0.199612,0.324921,0.800388,0.247299,0.247067,1.315112,0.166667
23,195,439,782,2761,0.220717,0.307571,0.199591,0.307571,0.800409,0.242086,0.2339,1.314968,0.176471
24,195,439,780,2763,0.220152,0.307571,0.2,0.307571,0.8,0.242387,0.233421,1.317666,0.178571
25,195,439,777,2766,0.219306,0.307571,0.200617,0.307571,0.799383,0.242839,0.232703,1.321732,0.181818
26,194,440,775,2768,0.218741,0.305994,0.200206,0.305994,0.799794,0.242046,0.231985,1.319025,0.2
27,182,452,738,2805,0.208298,0.287066,0.197826,0.287066,0.802174,0.234234,0.220254,1.303343,0.210526
28,181,453,736,2807,0.207734,0.285489,0.197383,0.285489,0.802617,0.233398,0.219536,1.300422,0.214286
29,181,453,731,2812,0.206322,0.285489,0.198465,0.285489,0.801535,0.234153,0.218339,1.307552,0.222222
30,178,456,723,2820,0.204064,0.280757,0.197558,0.280757,0.802442,0.231922,0.215705,1.301579,0.230769
31,177,457,722,2821,0.203782,0.27918,0.196885,0.27918,0.803115,0.23092,0.215226,1.297146,0.25
32,171,463,655,2888,0.184872,0.269716,0.207022,0.269716,0.792978,0.234247,0.19775,1.363927,0.272727
33,170,464,654,2889,0.184589,0.268139,0.206311,0.268139,0.793689,0.233196,0.197271,1.359242,0.285714
34,168,466,646,2897,0.182331,0.264984,0.206388,0.264984,0.793612,0.232044,0.194877,1.359753,0.3
35,168,466,643,2900,0.181485,0.264984,0.207152,0.264984,0.792848,0.232526,0.194158,1.364783,0.333333
36,150,484,580,2963,0.163703,0.236593,0.205479,0.236593,0.794521,0.219941,0.174767,1.353766,0.35
37,150,484,579,2964,0.163421,0.236593,0.205761,0.236593,0.794239,0.220103,0.174527,1.355623,0.375
38,150,484,576,2967,0.162574,0.236593,0.206612,0.236593,0.793388,0.220588,0.173809,1.361225,0.4
39,149,485,573,2970,0.161727,0.235016,0.206371,0.235016,0.793629,0.219764,0.172851,1.359641,0.416667
40,149,485,572,2971,0.161445,0.235016,0.206657,0.235016,0.793343,0.219926,0.172612,1.361527,0.428571
41,149,485,568,2975,0.160316,0.235016,0.20781,0.235016,0.79219,0.220577,0.171654,1.369123,0.444444
42,149,485,563,2980,0.158905,0.235016,0.20927,0.235016,0.79073,0.221397,0.170457,1.378737,0.473684
43,149,485,562,2981,0.158623,0.235016,0.209564,0.235016,0.790436,0.221561,0.170218,1.380676,0.5
